year,race,position,number,driver,car,lap,time_of_day,time,avg_speed
2023,Bahrain,1,24,Zhou ,Alfa Romeo Ferrari,56,19:38:14,1:33.996,207.276
2023,Bahrain,2,10, Gasly,Alpine Renault,42,19:14:37,1:35.068,204.939
2023,Bahrain,3,4, Norris,McLaren Mercedes,51,19:30:44,1:35.822,203.327
2023,Bahrain,4,2, Sargeant,Williams Mercedes,42,19:14:48,1:36.037,202.871
2023,Bahrain,5,14, Alonso,Aston Martin Aramco Mercedes,36,19:03:44,1:36.156,202.620
2023,Bahrain,6,1, Verstappen,Red Bull Racing Honda RBPT,44,19:16:35,1:36.236,202.452
2023,Bahrain,7,11, Perez,Red Bull Racing Honda RBPT,37,19:04:59,1:36.344,202.225
2023,Bahrain,8,20, Magnussen,Haas Ferrari,42,19:15:01,1:36.471,201.959
2023,Bahrain,9,18, Stroll,Aston Martin Aramco Mercedes,32,18:57:21,1:36.546,201.802
2023,Bahrain,10,44, Hamilton,Mercedes,36,19:03:44,1:36.546,201.802
2023,Bahrain,11,27, Hulkenberg,Haas Ferrari,42,19:15:10,1:36.616,201.656
2023,Bahrain,12,22, Tsunoda,AlphaTauri Honda RBPT,42,19:14:42,1:36.637,201.612
2023,Bahrain,13,31, Ocon,Alpine Renault,34,19:02:00,1:36.797,201.278
2023,Bahrain,14,55, Sainz,Ferrari,37,19:05:18,1:37.130,200.588
2023,Bahrain,15,23, Albon,Williams Mercedes,43,19:16:16,1:37.144,200.559
2023,Bahrain,16,16, Leclerc,Ferrari,37,19:05:10,1:37.170,200.506
2023,Bahrain,17,63, Russell,Mercedes,33,18:58:59,1:37.221,200.401
2023,Bahrain,18,77, Bottas,Alfa Romeo Ferrari,31,18:55:54,1:37.379,200.075
2023,Bahrain,19,21, De Vries,AlphaTauri Honda RBPT,30,18:54:34,1:37.709,199.400
2023,Bahrain,20,81, Piastri,McLaren Mercedes,3,18:08:48,1:40.691,193.494
2023,Saudi Arabia,1,1, Verstappen,Red Bull Racing Honda RBPT,50,21:25:10,1:31.906,241.838
2023,Saudi Arabia,2,11, Perez,Red Bull Racing Honda RBPT,38,21:06:31,1:32.188,241.098
2023,Saudi Arabia,3,14, Alonso,Aston Martin Aramco Mercedes,50,21:25:26,1:32.240,240.962
2023,Saudi Arabia,4,63, Russell,Mercedes,50,21:25:31,1:32.433,240.459
2023,Saudi Arabia,5,55, Sainz,Ferrari,50,21:25:41,1:32.822,239.451
2023,Saudi Arabia,6,44, Hamilton,Mercedes,47,21:20:56,1:32.941,239.145
2023,Saudi Arabia,7,16, Leclerc,Ferrari,47,21:21:04,1:33.056,238.849
2023,Saudi Arabia,8,31, Ocon,Alpine Renault,49,21:24:24,1:33.222,238.424
2023,Saudi Arabia,9,20, Magnussen,Haas Ferrari,44,21:16:45,1:33.374,238.036
2023,Saudi Arabia,10,10, Gasly,Alpine Renault,50,21:26:00,1:33.392,237.990
2023,Saudi Arabia,11,21, De Vries,AlphaTauri Honda RBPT,49,21:24:49,1:33.609,237.438
2023,Saudi Arabia,12,27, Hulkenberg,Haas Ferrari,50,21:26:16,1:33.780,237.005
2023,Saudi Arabia,13,24,Zhou ,Alfa Romeo Ferrari,49,21:24:47,1:33.894,236.718
2023,Saudi Arabia,14,22, Tsunoda,AlphaTauri Honda RBPT,50,21:26:13,1:33.931,236.624
2023,Saudi Arabia,15,4, Norris,McLaren Mercedes,49,21:24:56,1:34.122,236.144
2023,Saudi Arabia,16,81, Piastri,McLaren Mercedes,48,21:23:21,1:34.287,235.731
2023,Saudi Arabia,17,77, Bottas,Alfa Romeo Ferrari,37,21:06:26,1:34.384,235.489
2023,Saudi Arabia,18,2, Sargeant,Williams Mercedes,49,21:24:55,1:34.469,235.277
2023,Saudi Arabia,19,18, Stroll,Aston Martin Aramco Mercedes,7,20:15:03,1:35.140,233.617
2023,Saudi Arabia,20,23, Albon,Williams Mercedes,24,20:45:10,1:35.567,232.574
2023,Australia,1,11, Perez,Red Bull Racing Honda RBPT,53,16:37:54,1:20.235,236.814
2023,Australia,2,1, Verstappen,Red Bull Racing Honda RBPT,49,16:32:11,1:20.342,236.498
2023,Australia,3,55, Sainz,Ferrari,53,16:37:47,1:20.467,236.131
2023,Australia,4,14, Alonso,Aston Martin Aramco Mercedes,53,16:37:43,1:20.476,236.105
2023,Australia,5,44, Hamilton,Mercedes,49,16:32:19,1:20.613,235.703
2023,Australia,6,18, Stroll,Aston Martin Aramco Mercedes,50,16:33:50,1:20.934,234.769
2023,Australia,7,10, Gasly,Alpine Renault,47,16:29:43,1:20.995,234.592
2023,Australia,8,27, Hulkenberg,Haas Ferrari,46,16:28:30,1:21.124,234.219
2023,Australia,9,4, Norris,McLaren Mercedes,46,16:28:30,1:21.173,234.077
2023,Australia,10,21, De Vries,AlphaTauri Honda RBPT,50,16:35:24,1:21.183,234.049
2023,Australia,11,31, Ocon,Alpine Renault,44,16:25:56,1:21.203,233.991
2023,Australia,12,81, Piastri,McLaren Mercedes,53,16:38:21,1:21.335,233.611
2023,Australia,13,2, Sargeant,Williams Mercedes,50,16:35:12,1:21.456,233.264
2023,Australia,14,20, Magnussen,Haas Ferrari,52,16:37:13,1:21.685,232.610
2023,Australia,15,22, Tsunoda,AlphaTauri Honda RBPT,52,16:37:18,1:21.789,232.314
2023,Australia,16,24,Zhou ,Alfa Romeo Ferrari,48,16:31:45,1:21.819,232.229
2023,Australia,17,77, Bottas,Alfa Romeo Ferrari,46,16:29:15,1:22.233,231.060
2023,Australia,18,63, Russell,Mercedes,16,15:46:40,1:22.680,229.811
2023,Australia,19,23, Albon,Williams Mercedes,6,15:13:36,1:23.349,227.966
2023,Azerbaijan,1,63, Russell,Mercedes,51,16:37:59,1:43.370,209.062
2023,Azerbaijan,2,1, Verstappen,Red Bull Racing Honda RBPT,51,16:36:47,1:44.232,207.333
2023,Azerbaijan,3,14, Alonso,Aston Martin Aramco Mercedes,49,16:33:38,1:44.241,207.315
2023,Azerbaijan,4,16, Leclerc,Ferrari,49,16:33:36,1:44.561,206.681
2023,Azerbaijan,5,11, Perez,Red Bull Racing Honda RBPT,50,16:35:00,1:44.589,206.625
2023,Azerbaijan,6,55, Sainz,Ferrari,48,16:32:14,1:45.175,205.474
2023,Azerbaijan,7,44, Hamilton,Mercedes,48,16:32:15,1:45.346,205.141
2023,Azerbaijan,8,10, Gasly,Alpine Renault,47,16:31:14,1:45.540,204.764
2023,Azerbaijan,9,18, Stroll,Aston Martin Aramco Mercedes,45,16:27:01,1:45.627,204.595
2023,Azerbaijan,10,81, Piastri,McLaren Mercedes,51,16:38:12,1:45.631,204.587
2023,Azerbaijan,11,22, Tsunoda,AlphaTauri Honda RBPT,51,16:38:09,1:45.727,204.401
2023,Azerbaijan,12,4, Norris,McLaren Mercedes,49,16:34:33,1:45.738,204.380
2023,Azerbaijan,13,20, Magnussen,Haas Ferrari,51,16:38:15,1:45.850,204.164
2023,Azerbaijan,14,31, Ocon,Alpine Renault,49,16:34:31,1:45.908,204.052
2023,Azerbaijan,15,23, Albon,Williams Mercedes,51,16:38:14,1:45.925,204.019
2023,Azerbaijan,16,77, Bottas,Alfa Romeo Ferrari,36,16:12:06,1:46.304,203.292
2023,Azerbaijan,17,2, Sargeant,Williams Mercedes,49,16:34:53,1:46.501,202.916
2023,Azerbaijan,18,27, Hulkenberg,Haas Ferrari,34,16:07:51,1:46.731,202.479
2023,Azerbaijan,19,24,Zhou ,Alfa Romeo Ferrari,31,16:02:41,1:47.553,200.931
2023,Azerbaijan,20,21, De Vries,AlphaTauri Honda RBPT,4,15:11:32,1:48.781,198.663
2023,Miami,1,1, Verstappen,Red Bull Racing Honda RBPT,56,16:59:55,1:29.708,217.184
2023,Miami,2,14, Alonso,Aston Martin Aramco Mercedes,57,17:01:52,1:30.519,215.238
2023,Miami,3,11, Perez,Red Bull Racing Honda RBPT,57,17:01:31,1:30.560,215.141
2023,Miami,4,44, Hamilton,Mercedes,57,17:02:16,1:30.669,214.882
2023,Miami,5,18, Stroll,Aston Martin Aramco Mercedes,44,16:42:41,1:30.862,214.426
2023,Miami,6,27, Hulkenberg,Haas Ferrari,36,16:30:21,1:30.901,214.334
2023,Miami,7,63, Russell,Mercedes,57,17:01:58,1:31.015,214.065
2023,Miami,8,22, Tsunoda,AlphaTauri Honda RBPT,56,17:00:58,1:31.038,214.011
2023,Miami,9,31, Ocon,Alpine Renault,56,17:00:52,1:31.143,213.765
2023,Miami,10,55, Sainz,Ferrari,55,16:59:00,1:31.362,213.252
2023,Miami,11,16, Leclerc,Ferrari,57,17:02:18,1:31.434,213.084
2023,Miami,12,21, De Vries,AlphaTauri Honda RBPT,57,17:02:54,1:31.562,212.786
2023,Miami,13,20, Magnussen,Haas Ferrari,53,16:56:21,1:31.691,212.487
2023,Miami,14,24,Zhou ,Alfa Romeo Ferrari,56,17:01:11,1:31.736,212.383
2023,Miami,15,77, Bottas,Alfa Romeo Ferrari,56,17:01:05,1:31.838,212.147
2023,Miami,16,23, Albon,Williams Mercedes,55,16:59:34,1:31.852,212.115
2023,Miami,17,10, Gasly,Alpine Renault,55,16:59:17,1:31.971,211.840
2023,Miami,18,81, Piastri,McLaren Mercedes,56,17:01:46,1:32.006,211.760
2023,Miami,19,2, Sargeant,Williams Mercedes,50,16:52:39,1:32.384,210.893
2023,Miami,20,4, Norris,McLaren Mercedes,47,16:47:23,1:32.401,210.854
2023,Spain,1,1, Verstappen,Red Bull Racing Honda RBPT,61,16:24:44,1:16.330,219.641
2023,Spain,2,11, Perez,Red Bull Racing Honda RBPT,52,16:13:37,1:16.666,218.678
2023,Spain,3,44, Hamilton,Mercedes,62,16:26:20,1:16.676,218.649
2023,Spain,4,4, Norris,McLaren Mercedes,55,16:18:32,1:17.182,217.216
2023,Spain,5,63, Russell,Mercedes,48,16:08:14,1:17.875,215.283
2023,Spain,6,20, Magnussen,Haas Ferrari,44,16:03:58,1:18.069,214.748
2023,Spain,7,14, Alonso,Aston Martin Aramco Mercedes,49,16:09:55,1:18.083,214.709
2023,Spain,8,77, Bottas,Alfa Romeo Ferrari,50,16:12:00,1:18.242,214.273
2023,Spain,9,16, Leclerc,Ferrari,52,16:14:03,1:18.357,213.959
2023,Spain,10,10, Gasly,Alpine Renault,41,15:59:31,1:18.375,213.910
2023,Spain,11,55, Sainz,Ferrari,60,16:24:07,1:18.403,213.833
2023,Spain,12,21, De Vries,AlphaTauri Honda RBPT,41,15:59:36,1:18.594,213.313
2023,Spain,13,81, Piastri,McLaren Mercedes,41,15:59:29,1:18.679,213.083
2023,Spain,14,18, Stroll,Aston Martin Aramco Mercedes,56,16:19:05,1:18.722,212.967
2023,Spain,15,24,Zhou ,Alfa Romeo Ferrari,38,15:55:26,1:18.753,212.883
2023,Spain,16,27, Hulkenberg,Haas Ferrari,53,16:15:39,1:18.776,212.821
2023,Spain,17,22, Tsunoda,AlphaTauri Honda RBPT,59,16:23:10,1:18.904,212.475
2023,Spain,18,31, Ocon,Alpine Renault,54,16:16:32,1:18.946,212.362
2023,Spain,19,23, Albon,Williams Mercedes,59,16:23:44,1:19.133,211.861
2023,Spain,20,2, Sargeant,Williams Mercedes,41,15:59:56,1:19.247,211.556
2023,Canada,1,11, Perez,Red Bull Racing Honda RBPT,70,15:37:54,1:14.481,210.786
2023,Canada,2,44, Hamilton,Mercedes,47,15:08:05,1:15.396,208.228
2023,Canada,3,1, Verstappen,Red Bull Racing Honda RBPT,68,15:34:31,1:15.594,207.683
2023,Canada,4,14, Alonso,Aston Martin Aramco Mercedes,62,15:27:03,1:15.779,207.176
2023,Canada,5,16, Leclerc,Ferrari,47,15:08:09,1:15.907,206.826
2023,Canada,6,55, Sainz,Ferrari,47,15:08:11,1:15.911,206.815
2023,Canada,7,20, Magnussen,Haas Ferrari,55,15:20:19,1:16.126,206.231
2023,Canada,8,4, Norris,McLaren Mercedes,65,15:31:39,1:16.374,205.562
2023,Canada,9,10, Gasly,Alpine Renault,67,15:34:18,1:16.425,205.424
2023,Canada,10,18, Stroll,Aston Martin Aramco Mercedes,58,15:22:41,1:16.564,205.051
2023,Canada,11,81, Piastri,McLaren Mercedes,59,15:24:02,1:16.598,204.960
2023,Canada,12,77, Bottas,Alfa Romeo Ferrari,52,15:14:57,1:16.625,204.888
2023,Canada,13,21, De Vries,AlphaTauri Honda RBPT,52,15:16:29,1:16.656,204.805
2023,Canada,14,22, Tsunoda,AlphaTauri Honda RBPT,68,15:35:43,1:16.666,204.779
2023,Canada,15,31, Ocon,Alpine Renault,63,15:29:04,1:16.782,204.469
2023,Canada,16,23, Albon,Williams Mercedes,68,15:35:30,1:16.917,204.110
2023,Canada,17,24,Zhou ,Alfa Romeo Ferrari,58,15:23:03,1:17.090,203.652
2023,Canada,18,63, Russell,Mercedes,44,15:04:35,1:17.097,203.634
2023,Canada,19,27, Hulkenberg,Haas Ferrari,37,14:55:47,1:17.232,203.278
2023,Canada,20,2, Sargeant,Williams Mercedes,4,14:08:36,1:18.437,200.155
2023,Austria,1,1, Verstappen,Red Bull Racing Honda RBPT,71,16:28:21,1:07.012,231.970
2023,Austria,2,11, Perez,Red Bull Racing Honda RBPT,52,16:06:44,1:08.111,228.227
2023,Austria,3,18, Stroll,Aston Martin Aramco Mercedes,57,16:13:15,1:08.463,227.054
2023,Austria,4,4, Norris,McLaren Mercedes,48,16:02:05,1:08.739,226.142
2023,Austria,5,16, Leclerc,Ferrari,51,16:05:23,1:08.820,225.876
2023,Austria,6,55, Sainz,Ferrari,50,16:04:22,1:08.880,225.679
2023,Austria,7,10, Gasly,Alpine Renault,48,16:02:34,1:09.046,225.136
2023,Austria,8,14, Alonso,Aston Martin Aramco Mercedes,54,16:09:10,1:09.108,224.934
2023,Austria,9,44, Hamilton,Mercedes,48,16:02:16,1:09.160,224.765
2023,Austria,10,63, Russell,Mercedes,49,16:03:36,1:09.283,224.366
2023,Austria,11,23, Albon,Williams Mercedes,53,16:08:28,1:09.560,223.473
2023,Austria,12,2, Sargeant,Williams Mercedes,45,15:59:20,1:09.611,223.309
2023,Austria,13,22, Tsunoda,AlphaTauri Honda RBPT,45,15:59:37,1:09.620,223.280
2023,Austria,14,24,Zhou ,Alfa Romeo Ferrari,46,16:00:32,1:09.786,222.749
2023,Austria,15,31, Ocon,Alpine Renault,50,16:05:08,1:09.797,222.714
2023,Austria,16,21, De Vries,AlphaTauri Honda RBPT,46,16:00:33,1:09.852,222.539
2023,Austria,17,81, Piastri,McLaren Mercedes,46,16:00:48,1:09.862,222.507
2023,Austria,18,77, Bottas,Alfa Romeo Ferrari,49,16:04:16,1:09.940,222.259
2023,Austria,19,20, Magnussen,Haas Ferrari,37,15:50:01,1:10.176,221.511
2023,Austria,20,27, Hulkenberg,Haas Ferrari,7,15:12:54,1:11.066,218.737
2023,Great Britain,1,1, Verstappen,Red Bull Racing Honda RBPT,42,16:13:15,1:30.275,234.922
2023,Great Britain,2,4, Norris,McLaren Mercedes,43,16:14:49,1:30.543,234.226
2023,Great Britain,3,44, Hamilton,Mercedes,43,16:14:50,1:30.545,234.221
2023,Great Britain,4,81, Piastri,McLaren Mercedes,41,16:11:49,1:30.850,233.435
2023,Great Britain,5,11, Perez,Red Bull Racing Honda RBPT,51,16:27:08,1:30.914,233.271
2023,Great Britain,6,63, Russell,Mercedes,41,16:11:50,1:31.124,232.733
2023,Great Britain,7,16, Leclerc,Ferrari,48,16:22:37,1:31.255,232.399
2023,Great Britain,8,23, Albon,Williams Mercedes,41,16:11:54,1:31.273,232.353
2023,Great Britain,9,14, Alonso,Aston Martin Aramco Mercedes,48,16:22:36,1:31.338,232.188
2023,Great Britain,10,55, Sainz,Ferrari,51,16:27:14,1:31.366,232.116
2023,Great Britain,11,18, Stroll,Aston Martin Aramco Mercedes,42,16:13:27,1:31.508,231.756
2023,Great Britain,12,10, Gasly,Alpine Renault,42,16:13:28,1:31.539,231.678
2023,Great Britain,13,2, Sargeant,Williams Mercedes,42,16:13:29,1:31.699,231.274
2023,Great Britain,14,24,Zhou ,Alfa Romeo Ferrari,48,16:22:47,1:31.769,231.097
2023,Great Britain,15,27, Hulkenberg,Haas Ferrari,52,16:28:53,1:31.776,231.080
2023,Great Britain,16,77, Bottas,Alfa Romeo Ferrari,52,16:28:52,1:31.852,230.888
2023,Great Britain,17,22, Tsunoda,AlphaTauri Honda RBPT,48,16:22:46,1:32.084,230.307
2023,Great Britain,18,21, De Vries,AlphaTauri Honda RBPT,48,16:22:49,1:32.353,229.636
2023,Great Britain,19,20, Magnussen,Haas Ferrari,29,15:48:58,1:33.356,227.169
2023,Great Britain,20,31, Ocon,Alpine Renault,4,15:09:35,1:33.941,225.754
2023,Hungary,1,1, Verstappen,Red Bull Racing Honda RBPT,53,16:17:58,1:20.504,195.910
2023,Hungary,2,44, Hamilton,Mercedes,54,16:19:54,1:21.601,193.277
2023,Hungary,3,63, Russell,Mercedes,48,16:11:53,1:22.158,191.966
2023,Hungary,4,4, Norris,McLaren Mercedes,50,16:14:03,1:22.178,191.919
2023,Hungary,5,11, Perez,Red Bull Racing Honda RBPT,53,16:18:20,1:22.295,191.647
2023,Hungary,6,16, Leclerc,Ferrari,50,16:14:30,1:22.469,191.242
2023,Hungary,7,55, Sainz,Ferrari,54,16:20:06,1:22.584,190.976
2023,Hungary,8,81, Piastri,McLaren Mercedes,45,16:07:18,1:22.736,190.625
2023,Hungary,9,14, Alonso,Aston Martin Aramco Mercedes,51,16:16:08,1:22.745,190.604
2023,Hungary,10,22, Tsunoda,AlphaTauri Honda RBPT,68,16:40:41,1:23.269,189.405
2023,Hungary,11,18, Stroll,Aston Martin Aramco Mercedes,54,16:20:25,1:23.425,189.051
2023,Hungary,12,2, Sargeant,Williams Mercedes,36,15:55:31,1:23.496,188.890
2023,Hungary,13,27, Hulkenberg,Haas Ferrari,42,16:03:55,1:23.573,188.716
2023,Hungary,14,77, Bottas,Alfa Romeo Ferrari,42,16:03:49,1:23.651,188.540
2023,Hungary,15,24,Zhou ,Alfa Romeo Ferrari,12,15:20:56,1:23.743,188.333
2023,Hungary,16,20, Magnussen,Haas Ferrari,54,16:21:12,1:23.864,188.061
2023,Hungary,17,3, Ricciardo,AlphaTauri Honda RBPT,67,16:38:59,1:23.934,187.904
2023,Hungary,18,23, Albon,Williams Mercedes,54,16:20:39,1:24.051,187.643
2023,Belgium,1,44, Hamilton,Mercedes,44,16:27:05,1:47.305,234.978
2023,Belgium,2,1, Verstappen,Red Bull Racing Honda RBPT,32,16:04:12,1:48.922,231.490
2023,Belgium,3,23, Albon,Williams Mercedes,35,16:11:05,1:49.841,229.553
2023,Belgium,4,27, Hulkenberg,Haas Ferrari,26,15:54:05,1:49.907,229.415
2023,Belgium,5,24,Zhou ,Alfa Romeo Ferrari,27,15:56:01,1:50.188,228.830
2023,Belgium,6,11, Perez,Red Bull Racing Honda RBPT,31,16:02:33,1:50.308,228.581
2023,Belgium,7,16, Leclerc,Ferrari,30,16:00:46,1:50.436,228.316
2023,Belgium,8,31, Ocon,Alpine Renault,27,15:55:50,1:50.439,228.310
2023,Belgium,9,2, Sargeant,Williams Mercedes,37,16:14:58,1:50.486,228.213
2023,Belgium,10,77, Bottas,Alfa Romeo Ferrari,26,15:54:01,1:50.515,228.153
2023,Belgium,11,63, Russell,Mercedes,25,15:51:55,1:50.603,227.972
2023,Belgium,12,10, Gasly,Alpine Renault,25,15:52:04,1:50.911,227.339
2023,Belgium,13,14, Alonso,Aston Martin Aramco Mercedes,42,16:23:29,1:50.938,227.283
2023,Belgium,14,20, Magnussen,Haas Ferrari,27,15:55:55,1:50.993,227.171
2023,Belgium,15,3, Ricciardo,AlphaTauri Honda RBPT,25,15:52:15,1:50.994,227.169
2023,Belgium,16,18, Stroll,Aston Martin Aramco Mercedes,26,15:53:52,1:51.297,226.550
2023,Belgium,17,22, Tsunoda,AlphaTauri Honda RBPT,26,15:53:54,1:51.394,226.353
2023,Belgium,18,4, Norris,McLaren Mercedes,26,15:53:47,1:51.682,225.769
2023,Belgium,19,55, Sainz,Ferrari,9,15:21:24,1:53.138,222.864
2023,Italy,1,81, Piastri,McLaren Mercedes,43,16:26:44,1:25.072,245.142
2023,Italy,2,1, Verstappen,Red Bull Racing Honda RBPT,33,16:11:11,1:25.240,244.659
2023,Italy,3,55, Sainz,Ferrari,30,16:07:01,1:25.501,243.912
2023,Italy,4,11, Perez,Red Bull Racing Honda RBPT,39,16:19:54,1:25.522,243.853
2023,Italy,5,16, Leclerc,Ferrari,38,16:18:30,1:25.580,243.687
2023,Italy,6,44, Hamilton,Mercedes,29,16:06:01,1:25.582,243.682
2023,Italy,7,10, Gasly,Alpine Renault,44,16:28:17,1:25.758,243.181
2023,Italy,8,40, Lawson,AlphaTauri Honda RBPT,44,16:28:08,1:25.842,242.944
2023,Italy,9,63, Russell,Mercedes,38,16:18:37,1:25.847,242.929
2023,Italy,10,27, Hulkenberg,Haas Ferrari,50,16:37:05,1:25.894,242.796
2023,Italy,11,24,Zhou ,Alfa Romeo Ferrari,35,16:15:16,1:25.983,242.545
2023,Italy,12,77, Bottas,Alfa Romeo Ferrari,27,16:03:22,1:25.988,242.531
2023,Italy,13,14, Alonso,Aston Martin Aramco Mercedes,43,16:26:15,1:26.105,242.201
2023,Italy,14,4, Norris,McLaren Mercedes,24,15:58:43,1:26.144,242.092
2023,Italy,15,20, Magnussen,Haas Ferrari,42,16:25:42,1:26.278,241.716
2023,Italy,16,23, Albon,Williams Mercedes,33,16:11:41,1:26.389,241.405
2023,Italy,17,18, Stroll,Aston Martin Aramco Mercedes,31,16:09:12,1:26.617,240.770
2023,Italy,18,2, Sargeant,Williams Mercedes,16,15:47:15,1:26.840,240.152
2023,Italy,19,31, Ocon,Alpine Renault,33,16:12:13,1:26.963,239.812
2023,Singapore,1,44, Hamilton,Mercedes,47,21:25:58,1:35.867,185.507
2023,Singapore,2,63, Russell,Mercedes,46,21:24:17,1:36.273,184.724
2023,Singapore,3,14, Alonso,Aston Martin Aramco Mercedes,47,21:27:03,1:36.456,184.374
2023,Singapore,4,1, Verstappen,Red Bull Racing Honda RBPT,61,21:49:05,1:36.575,184.147
2023,Singapore,5,11, Perez,Red Bull Racing Honda RBPT,61,21:49:38,1:37.108,183.136
2023,Singapore,6,23, Albon,Williams Mercedes,46,21:24:52,1:37.342,182.696
2023,Singapore,7,55, Sainz,Ferrari,47,21:25:39,1:37.666,182.089
2023,Singapore,8,4, Norris,McLaren Mercedes,46,21:24:03,1:38.046,181.384
2023,Singapore,9,77, Bottas,Alfa Romeo Ferrari,51,21:33:25,1:38.075,181.330
2023,Singapore,10,20, Magnussen,Haas Ferrari,48,21:28:27,1:38.107,181.271
2023,Singapore,11,16, Leclerc,Ferrari,46,21:24:06,1:38.275,180.961
2023,Singapore,12,10, Gasly,Alpine Renault,46,21:24:30,1:38.277,180.957
2023,Singapore,13,81, Piastri,McLaren Mercedes,46,21:24:33,1:38.492,180.562
2023,Singapore,14,2, Sargeant,Williams Mercedes,45,21:23:37,1:38.531,180.491
2023,Singapore,15,40, Lawson,AlphaTauri Honda RBPT,47,21:26:15,1:39.028,179.585
2023,Singapore,16,24,Zhou ,Alfa Romeo Ferrari,46,21:24:41,1:39.316,179.064
2023,Singapore,17,27, Hulkenberg,Haas Ferrari,50,21:31:21,1:39.923,177.977
2023,Singapore,18,31, Ocon,Alpine Renault,33,21:01:42,1:39.930,177.964
2023,Japan,1,1, Verstappen,Red Bull Racing Honda RBPT,39,15:12:37,1:34.183,221.963
2023,Japan,2,4, Norris,McLaren Mercedes,40,15:14:28,1:35.247,219.484
2023,Japan,3,44, Hamilton,Mercedes,36,15:08:16,1:35.611,218.648
2023,Japan,4,55, Sainz,Ferrari,40,15:14:49,1:36.187,217.339
2023,Japan,5,81, Piastri,McLaren Mercedes,38,15:11:23,1:36.328,217.021
2023,Japan,6,16, Leclerc,Ferrari,40,15:14:38,1:36.362,216.944
2023,Japan,7,10, Gasly,Alpine Renault,36,15:08:40,1:36.371,216.924
2023,Japan,8,14, Alonso,Aston Martin Aramco Mercedes,28,14:55:20,1:37.203,215.067
2023,Japan,9,27, Hulkenberg,Haas Ferrari,44,15:22:09,1:37.250,214.963
2023,Japan,10,31, Ocon,Alpine Renault,34,15:05:16,1:37.398,214.636
2023,Japan,11,63, Russell,Mercedes,27,14:53:20,1:37.653,214.076
2023,Japan,12,22, Tsunoda,AlphaTauri Honda RBPT,36,15:08:51,1:37.768,213.824
2023,Japan,13,24,Zhou ,Alfa Romeo Ferrari,45,15:23:40,1:37.791,213.774
2023,Japan,14,20, Magnussen,Haas Ferrari,41,15:17:22,1:37.842,213.662
2023,Japan,15,40, Lawson,AlphaTauri Honda RBPT,50,15:31:47,1:38.267,212.738
2023,Japan,16,2, Sargeant,Williams Mercedes,7,14:20:23,1:38.848,211.488
2023,Japan,17,18, Stroll,Aston Martin Aramco Mercedes,16,14:35:16,1:39.050,211.057
2023,Japan,18,23, Albon,Williams Mercedes,15,14:34:07,1:39.185,210.769
2023,Japan,19,11, Perez,Red Bull Racing Honda RBPT,8,14:21:20,1:39.704,209.672
2023,Japan,20,77, Bottas,Alfa Romeo Ferrari,5,14:16:43,2:02.755,170.300
2023,Qatar,1,1, Verstappen,Red Bull Racing Honda RBPT,56,21:29:47,1:24.319,231.364
2023,Qatar,2,4, Norris,McLaren Mercedes,47,21:17:06,1:24.842,229.938
2023,Qatar,3,81, Piastri,McLaren Mercedes,48,21:18:29,1:24.921,229.724
2023,Qatar,4,16, Leclerc,Ferrari,57,21:31:51,1:24.992,229.532
2023,Qatar,5,63, Russell,Mercedes,35,20:59:39,1:25.770,227.450
2023,Qatar,6,14, Alonso,Aston Martin Aramco Mercedes,57,21:32:01,1:26.045,226.723
2023,Qatar,7,11, Perez,Red Bull Racing Honda RBPT,50,21:22:17,1:26.220,226.263
2023,Qatar,8,10, Gasly,Alpine Renault,49,21:20:48,1:26.310,226.027
2023,Qatar,9,24,Zhou ,Alfa Romeo Ferrari,54,21:28:08,1:26.323,225.993
2023,Qatar,10,18, Stroll,Aston Martin Aramco Mercedes,55,21:29:31,1:26.352,225.917
2023,Qatar,11,31, Ocon,Alpine Renault,42,21:10:00,1:26.450,225.661
2023,Qatar,12,27, Hulkenberg,Haas Ferrari,45,21:15:25,1:26.489,225.559
2023,Qatar,13,77, Bottas,Alfa Romeo Ferrari,54,21:27:58,1:26.652,225.135
2023,Qatar,14,23, Albon,Williams Mercedes,57,21:32:33,1:26.666,225.098
2023,Qatar,15,20, Magnussen,Haas Ferrari,46,21:16:36,1:27.067,224.061
2023,Qatar,16,40, Lawson,AlphaTauri Honda RBPT,54,21:28:44,1:27.113,223.943
2023,Qatar,17,22, Tsunoda,AlphaTauri Honda RBPT,55,21:29:51,1:27.174,223.786
2023,Qatar,18,2, Sargeant,Williams Mercedes,31,20:54:19,1:27.983,221.729
2023,United States,1,22, Tsunoda,AlphaTauri Honda RBPT,56,15:40:17,1:38.139,202.231
2023,United States,2,3, Ricciardo,AlphaTauri Honda RBPT,49,15:29:02,1:39.366,199.734
2023,United States,3,63, Russell,Mercedes,48,15:26:06,1:39.393,199.680
2023,United States,4,44, Hamilton,Mercedes,42,15:15:42,1:39.582,199.301
2023,United States,5,11, Perez,Red Bull Racing Honda RBPT,40,15:12:29,1:39.737,198.991
2023,United States,6,18, Stroll,Aston Martin Aramco Mercedes,48,15:26:28,1:39.908,198.650
2023,United States,7,14, Alonso,Aston Martin Aramco Mercedes,47,15:24:44,1:39.954,198.559
2023,United States,8,4, Norris,McLaren Mercedes,39,15:10:37,1:39.985,198.497
2023,United States,9,1, Verstappen,Red Bull Racing Honda RBPT,40,15:12:15,1:40.028,198.412
2023,United States,10,55, Sainz,Ferrari,51,15:30:53,1:40.034,198.400
