year,race,position,number,driver,car,time,gap,laps
2023,Bahrain,1,14, Alonso,Aston Martin Aramco Mercedes,1:32.340,,13
2023,Bahrain,2,1, Verstappen,Red Bull Racing Honda RBPT,1:32.345,+0.005s,13
2023,Bahrain,3,11, Perez,Red Bull Racing Honda RBPT,1:32.446,+0.106s,12
2023,Bahrain,4,44, Hamilton,Mercedes,1:32.555,+0.215s,17
2023,Bahrain,5,16, Leclerc,Ferrari,1:32.624,+0.284s,21
2023,Bahrain,6,63, Russell,Mercedes,1:32.731,+0.391s,17
2023,Bahrain,7,18, Stroll,Aston Martin Aramco Mercedes,1:32.919,+0.579s,16
2023,Bahrain,8,55, Sainz,Ferrari,1:32.945,+0.605s,21
2023,Bahrain,9,81, Piastri,McLaren Mercedes,1:33.045,+0.705s,12
2023,Bahrain,10,10, Gasly,Alpine Renault,1:33.064,+0.724s,13
2023,Bahrain,11,31, Ocon,Alpine Renault,1:33.116,+0.776s,16
2023,Bahrain,12,24,Zhou ,Alfa Romeo Ferrari,1:33.180,+0.840s,13
2023,Bahrain,13,4, Norris,McLaren Mercedes,1:33.202,+0.862s,16
2023,Bahrain,14,20, Magnussen,Haas Ferrari,1:33.381,+1.041s,21
2023,Bahrain,15,27, Hulkenberg,Haas Ferrari,1:33.423,+1.083s,23
2023,Bahrain,16,22, Tsunoda,AlphaTauri Honda RBPT,1:33.475,+1.135s,15
2023,Bahrain,17,77, Bottas,Alfa Romeo Ferrari,1:33.629,+1.289s,14
2023,Bahrain,18,2, Sargeant,Williams Mercedes,1:33.665,+1.325s,15
2023,Bahrain,19,23, Albon,Williams Mercedes,1:33.882,+1.542s,15
2023,Bahrain,20,21, De Vries,AlphaTauri Honda RBPT,1:34.082,+1.742s,18
2023,Saudi Arabia,1,1, Verstappen,Red Bull Racing Honda RBPT,1:28.485,,20
2023,Saudi Arabia,2,11, Perez,Red Bull Racing Honda RBPT,1:29.098,+0.613s,15
2023,Saudi Arabia,3,14, Alonso,Aston Martin Aramco Mercedes,1:29.483,+0.998s,21
2023,Saudi Arabia,4,18, Stroll,Aston Martin Aramco Mercedes,1:29.509,+1.024s,21
2023,Saudi Arabia,5,44, Hamilton,Mercedes,1:29.568,+1.083s,18
2023,Saudi Arabia,6,16, Leclerc,Ferrari,1:29.588,+1.103s,16
2023,Saudi Arabia,7,4, Norris,McLaren Mercedes,1:29.690,+1.205s,18
2023,Saudi Arabia,8,81, Piastri,McLaren Mercedes,1:29.698,+1.213s,23
2023,Saudi Arabia,9,10, Gasly,Alpine Renault,1:29.701,+1.216s,19
2023,Saudi Arabia,10,55, Sainz,Ferrari,1:29.761,+1.276s,16
2023,Saudi Arabia,11,63, Russell,Mercedes,1:29.811,+1.326s,19
2023,Saudi Arabia,12,24,Zhou ,Alfa Romeo Ferrari,1:29.917,+1.432s,21
2023,Saudi Arabia,13,27, Hulkenberg,Haas Ferrari,1:29.933,+1.448s,19
2023,Saudi Arabia,14,31, Ocon,Alpine Renault,1:29.953,+1.468s,19
2023,Saudi Arabia,15,23, Albon,Williams Mercedes,1:29.983,+1.498s,18
2023,Saudi Arabia,16,2, Sargeant,Williams Mercedes,1:30.035,+1.550s,18
2023,Saudi Arabia,17,20, Magnussen,Haas Ferrari,1:30.131,+1.646s,15
2023,Saudi Arabia,18,77, Bottas,Alfa Romeo Ferrari,1:30.317,+1.832s,20
2023,Saudi Arabia,19,22, Tsunoda,AlphaTauri Honda RBPT,1:30.797,+2.312s,20
2023,Australia,1,1, Verstappen,Red Bull Racing Honda RBPT,1:17.565,,24
2023,Australia,2,14, Alonso,Aston Martin Aramco Mercedes,1:17.727,+0.162s,26
2023,Australia,3,31, Ocon,Alpine Renault,1:17.938,+0.373s,23
2023,Australia,4,63, Russell,Mercedes,1:17.955,+0.390s,23
2023,Australia,5,10, Gasly,Alpine Renault,1:18.094,+0.529s,23
2023,Australia,6,11, Perez,Red Bull Racing Honda RBPT,1:18.123,+0.558s,18
2023,Australia,7,55, Sainz,Ferrari,1:18.127,+0.562s,29
2023,Australia,8,44, Hamilton,Mercedes,1:18.138,+0.573s,25
2023,Australia,9,18, Stroll,Aston Martin Aramco Mercedes,1:18.198,+0.633s,22
2023,Australia,10,24,Zhou ,Alfa Romeo Ferrari,1:18.330,+0.765s,20
2023,Australia,11,27, Hulkenberg,Haas Ferrari,1:18.410,+0.845s,24
2023,Australia,12,23, Albon,Williams Mercedes,1:18.553,+0.988s,21
2023,Australia,13,16, Leclerc,Ferrari,1:18.691,+1.126s,28
2023,Australia,14,81, Piastri,McLaren Mercedes,1:18.713,+1.148s,21
2023,Australia,15,77, Bottas,Alfa Romeo Ferrari,1:18.809,+1.244s,24
2023,Australia,16,22, Tsunoda,AlphaTauri Honda RBPT,1:18.901,+1.336s,22
2023,Australia,17,2, Sargeant,Williams Mercedes,1:18.947,+1.382s,20
2023,Australia,18,20, Magnussen,Haas Ferrari,1:19.056,+1.491s,26
2023,Australia,19,21, De Vries,AlphaTauri Honda RBPT,1:19.092,+1.527s,23
2023,Australia,20,4, Norris,McLaren Mercedes,1:19.146,+1.581s,12
2023,Miami,1,1, Verstappen,Red Bull Racing Honda RBPT,1:27.535,,18
2023,Miami,2,16, Leclerc,Ferrari,1:27.941,+0.406s,26
2023,Miami,3,11, Perez,Red Bull Racing Honda RBPT,1:28.050,+0.515s,22
2023,Miami,4,55, Sainz,Ferrari,1:28.125,+0.590s,27
2023,Miami,5,31, Ocon,Alpine Renault,1:28.407,+0.872s,25
2023,Miami,6,10, Gasly,Alpine Renault,1:28.428,+0.893s,24
