year,race,position,number,driver,car,time,gap,laps
2023,Bahrain,1,11, Perez,Red Bull Racing Honda RBPT,1:32.758,,21
2023,Bahrain,2,14, Alonso,Aston Martin Aramco Mercedes,1:33.196,+0.438s,22
2023,Bahrain,3,1, Verstappen,Red Bull Racing Honda RBPT,1:33.375,+0.617s,21
2023,Bahrain,4,4, Norris,McLaren Mercedes,1:34.165,+1.407s,21
2023,Bahrain,5,16, Leclerc,Ferrari,1:34.257,+1.499s,17
2023,Bahrain,6,18, Stroll,Aston Martin Aramco Mercedes,1:34.298,+1.540s,17
2023,Bahrain,7,20, Magnussen,Haas Ferrari,1:34.402,+1.644s,20
2023,Bahrain,8,24,Zhou ,Alfa Romeo Ferrari,1:34.575,+1.817s,18
2023,Bahrain,9,77, Bottas,Alfa Romeo Ferrari,1:34.689,+1.931s,20
2023,Bahrain,10,44, Hamilton,Mercedes,1:34.917,+2.159s,13
2023,Bahrain,11,63, Russell,Mercedes,1:34.966,+2.208s,20
2023,Bahrain,12,81, Piastri,McLaren Mercedes,1:34.997,+2.239s,24
2023,Bahrain,13,22, Tsunoda,AlphaTauri Honda RBPT,1:35.015,+2.257s,20
2023,Bahrain,14,27, Hulkenberg,Haas Ferrari,1:35.043,+2.285s,22
2023,Bahrain,15,31, Ocon,Alpine Renault,1:35.105,+2.347s,20
2023,Bahrain,16,21, De Vries,AlphaTauri Honda RBPT,1:35.402,+2.644s,25
2023,Bahrain,17,10, Gasly,Alpine Renault,1:35.455,+2.697s,22
2023,Bahrain,18,2, Sargeant,Williams Mercedes,1:35.749,+2.991s,24
2023,Bahrain,19,23, Albon,Williams Mercedes,1:36.018,+3.260s,15
2023,Bahrain,20,55, Sainz,Ferrari,1:36.072,+3.314s,21
2023,Saudi Arabia,1,1, Verstappen,Red Bull Racing Honda RBPT,1:29.617,,18
2023,Saudi Arabia,2,11, Perez,Red Bull Racing Honda RBPT,1:30.100,+0.483s,20
2023,Saudi Arabia,3,14, Alonso,Aston Martin Aramco Mercedes,1:30.315,+0.698s,22
2023,Saudi Arabia,4,18, Stroll,Aston Martin Aramco Mercedes,1:30.577,+0.960s,20
2023,Saudi Arabia,5,63, Russell,Mercedes,1:30.771,+1.154s,26
2023,Saudi Arabia,6,44, Hamilton,Mercedes,1:30.787,+1.170s,26
2023,Saudi Arabia,7,55, Sainz,Ferrari,1:30.924,+1.307s,23
2023,Saudi Arabia,8,10, Gasly,Alpine Renault,1:30.949,+1.332s,24
2023,Saudi Arabia,9,23, Albon,Williams Mercedes,1:31.030,+1.413s,23
2023,Saudi Arabia,10,22, Tsunoda,AlphaTauri Honda RBPT,1:31.110,+1.493s,25
2023,Saudi Arabia,11,16, Leclerc,Ferrari,1:31.118,+1.501s,26
2023,Saudi Arabia,12,31, Ocon,Alpine Renault,1:31.181,+1.564s,22
2023,Saudi Arabia,13,21, De Vries,AlphaTauri Honda RBPT,1:31.450,+1.833s,29
2023,Saudi Arabia,14,81, Piastri,McLaren Mercedes,1:31.491,+1.874s,24
2023,Saudi Arabia,15,27, Hulkenberg,Haas Ferrari,1:31.552,+1.935s,22
2023,Saudi Arabia,16,20, Magnussen,Haas Ferrari,1:31.566,+1.949s,23
2023,Saudi Arabia,17,2, Sargeant,Williams Mercedes,1:31.922,+2.305s,26
2023,Saudi Arabia,18,77, Bottas,Alfa Romeo Ferrari,1:31.970,+2.353s,25
2023,Saudi Arabia,19,24,Zhou ,Alfa Romeo Ferrari,1:31.986,+2.369s,22
2023,Saudi Arabia,20,4, Norris,McLaren Mercedes,1:32.149,+2.532s,21
