year,race,position,number,driver,car,laps,time,points
2006,San Marino,12,17, Villeneuve,Sauber BMW,62,+82.370s,0
2006,San Marino,13,16, Heidfeld,Sauber BMW,61,+1 lap,0
2006,San Marino,14,20, Liuzzi,STR Cosworth,61,+1 lap,0
2006,San Marino,15,21, Speed,STR Cosworth,61,+1 lap,0
2006,San Marino,16,18, Monteiro,MF1 Toyota,60,+2 laps,0
2006,San Marino,NC,14, Coulthard,RBR Ferrari,47,DNF,0
2006,San Marino,NC,22, Sato,Super Aguri Honda,44,DNF,0
2006,San Marino,NC,15, Klien,RBR Ferrari,40,DNF,0
2006,San Marino,NC,23, Ide,Super Aguri Honda,23,DNF,0
2006,San Marino,NC,8, Trulli,Toyota,5,DNF,0
2006,San Marino,NC,19, Albers,MF1 Toyota,0,DNF,0
2006,Europe,1,5, Schumacher,Ferrari,60,1:35:58.765,10
2006,Europe,2,1, Alonso,Renault,60,+3.751s,8
2006,Europe,3,6, Massa,Ferrari,60,+4.447s,6
2006,Europe,4,3, Räikkönen,McLaren Mercedes,60,+4.879s,5
2006,Europe,5,11, Barrichello,Honda,60,+72.586s,4
2006,Europe,6,2, Fisichella,Renault,60,+74.116s,3
2006,Europe,7,10, Rosberg,Williams Cosworth,60,+74.565s,2
2006,Europe,8,17, Villeneuve,Sauber BMW,60,+89.364s,1
2006,Europe,9,8, Trulli,Toyota,59,+1 lap,0
2006,Europe,10,16, Heidfeld,Sauber BMW,59,+1 lap,0
2006,Europe,11,21, Speed,STR Cosworth,59,+1 lap,0
2006,Europe,12,18, Monteiro,MF1 Toyota,59,+1 lap,0
2006,Europe,13,19, Albers,MF1 Toyota,59,+1 lap,0
2006,Europe,NC,7, Schumacher,Toyota,52,DNF,0
2006,Europe,NC,4, Montoya,McLaren Mercedes,52,DNF,0
2006,Europe,NC,22, Sato,Super Aguri Honda,45,DNF,0
2006,Europe,NC,23, Montagny,Super Aguri Honda,29,DNF,0
2006,Europe,NC,12, Button,Honda,28,DNF,0
2006,Europe,NC,15, Klien,RBR Ferrari,28,DNF,0
2006,Europe,NC,9, Webber,Williams Cosworth,12,DNF,0
2006,Europe,NC,14, Coulthard,RBR Ferrari,2,DNF,0
2006,Europe,NC,20, Liuzzi,STR Cosworth,0,DNF,0
2006,Spain,1,1, Alonso,Renault,66,1:26:21.759,10
2006,Spain,2,5, Schumacher,Ferrari,66,+18.502s,8
2006,Spain,3,2, Fisichella,Renault,66,+23.951s,6
2006,Spain,4,6, Massa,Ferrari,66,+29.859s,5
2006,Spain,5,3, Räikkönen,McLaren Mercedes,66,+56.875s,4
2006,Spain,6,12, Button,Honda,66,+58.347s,3
2006,Spain,7,11, Barrichello,Honda,65,+1 lap,2
2006,Spain,8,16, Heidfeld,Sauber BMW,65,+1 lap,1
2006,Spain,9,9, Webber,Williams Cosworth,65,+1 lap,0
2006,Spain,10,8, Trulli,Toyota,65,+1 lap,0
2006,Spain,11,10, Rosberg,Williams Cosworth,65,+1 lap,0
2006,Spain,12,17, Villeneuve,Sauber BMW,65,+1 lap,0
2006,Spain,13,15, Klien,RBR Ferrari,65,+1 lap,0
2006,Spain,14,14, Coulthard,RBR Ferrari,65,+1 lap,0
2006,Spain,15,20, Liuzzi,STR Cosworth,63,DNF,0
2006,Spain,16,18, Monteiro,MF1 Toyota,63,+3 laps,0
2006,Spain,17,22, Sato,Super Aguri Honda,62,+4 laps,0
2006,Spain,NC,19, Albers,MF1 Toyota,48,DNF,0
2006,Spain,NC,21, Speed,STR Cosworth,47,DNF,0
2006,Spain,NC,7, Schumacher,Toyota,31,DNF,0
2006,Spain,NC,4, Montoya,McLaren Mercedes,17,DNF,0
2006,Spain,NC,23, Montagny,Super Aguri Honda,10,DNF,0
2006,Monaco,1,1, Alonso,Renault,78,1:43:43.116,10
2006,Monaco,2,4, Montoya,McLaren Mercedes,78,+14.567s,8
2006,Monaco,3,14, Coulthard,RBR Ferrari,78,+52.298s,6
2006,Monaco,4,11, Barrichello,Honda,78,+53.337s,5
2006,Monaco,5,5, Schumacher,Ferrari,78,+53.830s,4
2006,Monaco,6,2, Fisichella,Renault,78,+62.072s,3
2006,Monaco,7,16, Heidfeld,Sauber BMW,77,+1 lap,2
2006,Monaco,8,7, Schumacher,Toyota,77,+1 lap,1
2006,Monaco,9,6, Massa,Ferrari,77,+1 lap,0
2006,Monaco,10,20, Liuzzi,STR Cosworth,77,+1 lap,0
2006,Monaco,11,12, Button,Honda,77,+1 lap,0
2006,Monaco,12,19, Albers,MF1 Toyota,77,+1 lap,0
2006,Monaco,13,21, Speed,STR Cosworth,77,+1 lap,0
2006,Monaco,14,17, Villeneuve,Sauber BMW,77,+1 lap,0
2006,Monaco,15,18, Monteiro,MF1 Toyota,76,+2 laps,0
2006,Monaco,16,23, Montagny,Super Aguri Honda,75,+3 laps,0
2006,Monaco,17,8, Trulli,Toyota,72,DNF,0
2006,Monaco,NC,15, Klien,RBR Ferrari,56,DNF,0
2006,Monaco,NC,10, Rosberg,Williams Cosworth,51,DNF,0
2006,Monaco,NC,3, Räikkönen,McLaren Mercedes,50,DNF,0
2006,Monaco,NC,9, Webber,Williams Cosworth,48,DNF,0
2006,Monaco,NC,22, Sato,Super Aguri Honda,46,DNF,0
2006,Great Britain,1,1, Alonso,Renault,60,1:25:51.927,10
2006,Great Britain,2,5, Schumacher,Ferrari,60,+13.951s,8
2006,Great Britain,3,3, Räikkönen,McLaren Mercedes,60,+18.672s,6
2006,Great Britain,4,2, Fisichella,Renault,60,+19.976s,5
2006,Great Britain,5,6, Massa,Ferrari,60,+31.559s,4
2006,Great Britain,6,4, Montoya,McLaren Mercedes,60,+64.769s,3
2006,Great Britain,7,16, Heidfeld,Sauber BMW,60,+71.594s,2
2006,Great Britain,8,17, Villeneuve,Sauber BMW,60,+78.299s,1
2006,Great Britain,9,10, Rosberg,Williams Cosworth,60,+79.008s,0
2006,Great Britain,10,11, Barrichello,Honda,59,+1 lap,0
2006,Great Britain,11,8, Trulli,Toyota,59,+1 lap,0
2006,Great Britain,12,14, Coulthard,RBR Ferrari,59,+1 lap,0
2006,Great Britain,13,20, Liuzzi,STR Cosworth,59,+1 lap,0
2006,Great Britain,14,15, Klien,RBR Ferrari,59,+1 lap,0
2006,Great Britain,15,19, Albers,MF1 Toyota,59,+1 lap,0
2006,Great Britain,16,18, Monteiro,MF1 Toyota,58,+2 laps,0
2006,Great Britain,17,22, Sato,Super Aguri Honda,57,+3 laps,0
2006,Great Britain,18,23, Montagny,Super Aguri Honda,57,+3 laps,0
2006,Great Britain,NC,12, Button,Honda,8,DNF,0
2006,Great Britain,NC,21, Speed,STR Cosworth,1,DNF,0
2006,Great Britain,NC,7, Schumacher,Toyota,0,DNF,0
2006,Great Britain,NC,9, Webber,Williams Cosworth,0,DNF,0
2006,Canada,1,1, Alonso,Renault,70,1:34:37.308,10
2006,Canada,2,5, Schumacher,Ferrari,70,+2.111s,8
2006,Canada,3,3, Räikkönen,McLaren Mercedes,70,+8.813s,6
2006,Canada,4,2, Fisichella,Renault,70,+15.679s,5
2006,Canada,5,6, Massa,Ferrari,70,+25.172s,4
2006,Canada,6,8, Trulli,Toyota,69,+1 lap,3
2006,Canada,7,16, Heidfeld,Sauber BMW,69,+1 lap,2
2006,Canada,8,14, Coulthard,RBR Ferrari,69,+1 lap,1
2006,Canada,9,12, Button,Honda,69,+1 lap,0
2006,Canada,10,21, Speed,STR Cosworth,69,+1 lap,0
2006,Canada,11,15, Klien,RBR Ferrari,69,+1 lap,0
2006,Canada,12,9, Webber,Williams Cosworth,69,+1 lap,0
2006,Canada,13,20, Liuzzi,STR Cosworth,68,+2 laps,0
2006,Canada,14,18, Monteiro,MF1 Toyota,66,+4 laps,0
2006,Canada,15,22, Sato,Super Aguri Honda,64,DNF,0
2006,Canada,NC,17, Villeneuve,Sauber BMW,58,DNF,0
2006,Canada,NC,7, Schumacher,Toyota,58,DNF,0
2006,Canada,NC,4, Montoya,McLaren Mercedes,13,DNF,0
2006,Canada,NC,11, Barrichello,Honda,11,DNF,0
2006,Canada,NC,23, Montagny,Super Aguri Honda,2,DNF,0
2006,Canada,NC,10, Rosberg,Williams Cosworth,1,DNF,0
2006,Canada,NC,19, Albers,MF1 Toyota,0,DNF,0
2006,United States,1,5, Schumacher,Ferrari,73,1:34:35.199,10
2006,United States,2,6, Massa,Ferrari,73,+7.984s,8
2006,United States,3,2, Fisichella,Renault,73,+16.595s,6
2006,United States,4,8, Trulli,Toyota,73,+23.604s,5
2006,United States,5,1, Alonso,Renault,73,+28.410s,4
2006,United States,6,11, Barrichello,Honda,73,+36.516s,3
2006,United States,7,14, Coulthard,RBR Ferrari,72,+1 lap,2
2006,United States,8,20, Liuzzi,STR Cosworth,72,+1 lap,1
2006,United States,9,10, Rosberg,Williams Cosworth,72,+1 lap,0
2006,United States,NC,7, Schumacher,Toyota,62,DNF,0
2006,United States,NC,19, Albers,MF1 Toyota,37,DNF,0
2006,United States,NC,17, Villeneuve,Sauber BMW,23,DNF,0
2006,United States,NC,18, Monteiro,MF1 Toyota,9,DNF,0
2006,United States,NC,22, Sato,Super Aguri Honda,6,DNF,0
2006,United States,NC,12, Button,Honda,3,DNF,0
2006,United States,NC,3, Räikkönen,McLaren Mercedes,0,DNF,0
2006,United States,NC,16, Heidfeld,Sauber BMW,0,DNF,0
2006,United States,NC,4, Montoya,McLaren Mercedes,0,DNF,0
2006,United States,NC,9, Webber,Williams Cosworth,0,DNF,0
2006,United States,NC,21, Speed,STR Cosworth,0,DNF,0
2006,United States,NC,15, Klien,RBR Ferrari,0,DNF,0
2006,United States,NC,23, Montagny,Super Aguri Honda,0,DNF,0
2006,France,1,5, Schumacher,Ferrari,70,1:32:07.803,10
2006,France,2,1, Alonso,Renault,70,+10.131s,8
2006,France,3,6, Massa,Ferrari,70,+22.546s,6
2006,France,4,7, Schumacher,Toyota,70,+27.212s,5
2006,France,5,3, Räikkönen,McLaren Mercedes,70,+33.006s,4
2006,France,6,2, Fisichella,Renault,70,+45.265s,3
2006,France,7,4, de la Rosa,McLaren Mercedes,70,+49.407s,2
2006,France,8,16, Heidfeld,Sauber BMW,69,+1 lap,1
2006,France,9,14, Coulthard,RBR Ferrari,69,+1 lap,0
2006,France,10,21, Speed,STR Cosworth,69,+1 lap,0
2006,France,11,17, Villeneuve,Sauber BMW,69,+1 lap,0
2006,France,12,15, Klien,RBR Ferrari,69,+1 lap,0
2006,France,13,20, Liuzzi,STR Cosworth,69,+1 lap,0
2006,France,14,10, Rosberg,Williams Cosworth,68,+2 laps,0
2006,France,15,19, Albers,MF1 Toyota,68,+2 laps,0
2006,France,16,23, Montagny,Super Aguri Honda,67,+3 laps,0
2006,France,NC,12, Button,Honda,61,DNF,0
2006,France,NC,9, Webber,Williams Cosworth,53,DNF,0
2006,France,NC,8, Trulli,Toyota,39,DNF,0
2006,France,NC,11, Barrichello,Honda,18,DNF,0
2006,France,NC,18, Monteiro,MF1 Toyota,11,DNF,0
2006,France,NC,22, Sato,Super Aguri Honda,0,DNF,0
2006,Germany,1,5, Schumacher,Ferrari,67,1:27:51.693,10
2006,Germany,2,6, Massa,Ferrari,67,+0.720s,8
2006,Germany,3,3, Räikkönen,McLaren Mercedes,67,+13.206s,6
2006,Germany,4,12, Button,Honda,67,+18.898s,5
2006,Germany,5,1, Alonso,Renault,67,+23.707s,4
2006,Germany,6,2, Fisichella,Renault,67,+24.814s,3
2006,Germany,7,8, Trulli,Toyota,67,+26.544s,2
2006,Germany,8,15, Klien,RBR Ferrari,67,+48.131s,1
2006,Germany,9,7, Schumacher,Toyota,67,+60.351s,0
2006,Germany,10,20, Liuzzi,STR Cosworth,66,+1 lap,0
2006,Germany,11,14, Coulthard,RBR Ferrari,66,+1 lap,0
2006,Germany,12,21, Speed,STR Cosworth,66,+1 lap,0
2006,Germany,NC,9, Webber,Williams Cosworth,59,+1 lap,0
2006,Germany,NC,22, Sato,Super Aguri Honda,38,+2 laps,0
2006,Germany,NC,17, Villeneuve,Sauber BMW,30,DNF,0
2006,Germany,NC,11, Barrichello,Honda,18,DNF,0
2006,Germany,NC,16, Heidfeld,Sauber BMW,9,DNF,0
2006,Germany,NC,4, de la Rosa,McLaren Mercedes,2,DNF,0
2006,Germany,NC,23, Yamamoto,Super Aguri Honda,1,DNF,0
2006,Germany,NC,10, Rosberg,Williams Cosworth,0,DNF,0
2006,Hungary,1,12, Button,Honda,70,1:52:20.941,10
2006,Hungary,2,4, de la Rosa,McLaren Mercedes,70,+30.837s,8
2006,Hungary,3,16, Heidfeld,Sauber BMW,70,+43.822s,6
2006,Hungary,4,11, Barrichello,Honda,70,+45.205s,5
2006,Hungary,5,14, Coulthard,RBR Ferrari,69,+1 lap,4
2006,Hungary,6,7, Schumacher,Toyota,69,+1 lap,3
2006,Hungary,7,6, Massa,Ferrari,69,+1 lap,2
2006,Hungary,8,5, Schumacher,Ferrari,67,DNF,1
2006,Hungary,9,18, Monteiro,MF1 Toyota,67,+3 laps,0
2006,Hungary,10,19, Albers,MF1 Toyota,67,+3 laps,0
2006,Hungary,11,21, Speed,STR Cosworth,66,+4 laps,0
2006,Hungary,12,8, Trulli,Toyota,65,DNF,0
2006,Hungary,13,22, Sato,Super Aguri Honda,65,+5 laps,0
2006,Hungary,NC,1, Alonso,Renault,51,DNF,0
2006,Hungary,NC,3, Räikkönen,McLaren Mercedes,25,DNF,0
2006,Hungary,NC,20, Liuzzi,STR Cosworth,25,DNF,0
2006,Hungary,NC,10, Rosberg,Williams Cosworth,19,DNF,0
2006,Hungary,NC,2, Fisichella,Renault,18,DNF,0
2006,Hungary,NC,15, Klien,RBR Ferrari,6,DNF,0
2006,Hungary,NC,9, Webber,Williams Cosworth,1,DNF,0
2006,Hungary,NC,23, Yamamoto,Super Aguri Honda,0,DNF,0
2006,Turkey,1,6, Massa,Ferrari,58,1:28:51.082,10
2006,Turkey,2,1, Alonso,Renault,58,+5.575s,8
2006,Turkey,3,5, Schumacher,Ferrari,58,+5.656s,6
2006,Turkey,4,12, Button,Honda,58,+12.334s,5
2006,Turkey,5,4, de la Rosa,McLaren Mercedes,58,+45.908s,4
2006,Turkey,6,2, Fisichella,Renault,58,+46.594s,3
2006,Turkey,7,7, Schumacher,Toyota,58,+59.337s,2
2006,Turkey,8,11, Barrichello,Honda,58,+60.034s,1
2006,Turkey,9,8, Trulli,Toyota,57,+1 lap,0
2006,Turkey,10,9, Webber,Williams Cosworth,57,+1 lap,0
2006,Turkey,11,15, Klien,RBR Ferrari,57,+1 lap,0
2006,Turkey,12,17, Kubica,Sauber BMW,57,+1 lap,0
2006,Turkey,13,21, Speed,STR Cosworth,57,+1 lap,0
2006,Turkey,14,16, Heidfeld,Sauber BMW,56,+2 laps,0
2006,Turkey,15,14, Coulthard,RBR Ferrari,55,+3 laps,0
2006,Turkey,NC,19, Albers,MF1 Toyota,46,DNF,0
2006,Turkey,NC,22, Sato,Super Aguri Honda,41,+17 laps,0
2006,Turkey,NC,10, Rosberg,Williams Cosworth,25,DNF,0
2006,Turkey,NC,23, Yamamoto,Super Aguri Honda,23,DNF,0
2006,Turkey,NC,20, Liuzzi,STR Cosworth,12,DNF,0
2006,Turkey,NC,3, Räikkönen,McLaren Mercedes,1,DNF,0
2006,Turkey,NC,18, Monteiro,MF1 Toyota,0,DNF,0
2006,Italy,1,5, Schumacher,Ferrari,53,1:14:51.975,10
2006,Italy,2,3, Räikkönen,McLaren Mercedes,53,+8.046s,8
2006,Italy,3,17, Kubica,Sauber BMW,53,+26.414s,6
2006,Italy,4,2, Fisichella,Renault,53,+32.045s,5
2006,Italy,5,12, Button,Honda,53,+32.685s,4
2006,Italy,6,11, Barrichello,Honda,53,+42.409s,3
2006,Italy,7,8, Trulli,Toyota,53,+44.662s,2
2006,Italy,8,16, Heidfeld,Sauber BMW,53,+45.309s,1
2006,Italy,9,6, Massa,Ferrari,53,+45.955s,0
2006,Italy,10,9, Webber,Williams Cosworth,53,+72.602s,0
2006,Italy,11,15, Klien,RBR Ferrari,52,+1 lap,0
2006,Italy,12,14, Coulthard,RBR Ferrari,52,+1 lap,0
2006,Italy,13,21, Speed,STR Cosworth,52,+1 lap,0
2006,Italy,14,20, Liuzzi,STR Cosworth,52,+1 lap,0
2006,Italy,15,7, Schumacher,Toyota,52,+1 lap,0
2006,Italy,16,22, Sato,Super Aguri Honda,51,+2 laps,0
2006,Italy,17,19, Albers,MF1 Toyota,51,+2 laps,0
2006,Italy,NC,18, Monteiro,MF1 Toyota,44,DNF,0
2006,Italy,NC,1, Alonso,Renault,43,DNF,0
2006,Italy,NC,4, de la Rosa,McLaren Mercedes,20,DNF,0
2006,Italy,NC,23, Yamamoto,Super Aguri Honda,18,DNF,0
2006,Italy,NC,10, Rosberg,Williams Cosworth,9,DNF,0
2006,China,1,5, Schumacher,Ferrari,56,1:37:32.747,10
2006,China,2,1, Alonso,Renault,56,+3.121s,8
2006,China,3,2, Fisichella,Renault,56,+44.197s,6
2006,China,4,12, Button,Honda,56,+72.056s,5
2006,China,5,4, de la Rosa,McLaren Mercedes,56,+77.137s,4
2006,China,6,11, Barrichello,Honda,56,+79.131s,3
2006,China,7,16, Heidfeld,Sauber BMW,56,+91.979s,2
2006,China,8,9, Webber,Williams Cosworth,56,+103.588s,1
2006,China,9,14, Coulthard,RBR Ferrari,56,+103.796s,0
2006,China,10,20, Liuzzi,STR Cosworth,55,+1 lap,0
2006,China,11,10, Rosberg,Williams Cosworth,55,+1 lap,0
2006,China,12,15, Doornbos,RBR Ferrari,55,+1 lap,0
2006,China,13,17, Kubica,Sauber BMW,55,+1 lap,0
2006,China,14,21, Speed,STR Cosworth,55,+1 lap,0
2006,China,15,19, Albers,MF1 Toyota,53,+3 laps,0
2006,China,16,23, Yamamoto,Super Aguri Honda,52,+4 laps,0
2006,China,NC,7, Schumacher,Toyota,49,DNF,0
2006,China,NC,6, Massa,Ferrari,44,DNF,0
2006,China,NC,8, Trulli,Toyota,38,DNF,0
2006,China,NC,18, Monteiro,MF1 Toyota,37,DNF,0
2006,China,NC,3, Räikkönen,McLaren Mercedes,18,DNF,0
2006,Japan,1,1, Alonso,Renault,53,1:23:53.413,10
2006,Japan,2,6, Massa,Ferrari,53,+16.151s,8
2006,Japan,3,2, Fisichella,Renault,53,+23.953s,6
2006,Japan,4,12, Button,Honda,53,+34.101s,5
2006,Japan,5,3, Räikkönen,McLaren Mercedes,53,+43.596s,4
2006,Japan,6,8, Trulli,Toyota,53,+46.717s,3
2006,Japan,7,7, Schumacher,Toyota,53,+48.869s,2
2006,Japan,8,16, Heidfeld,Sauber BMW,53,+76.095s,1
2006,Japan,9,17, Kubica,Sauber BMW,53,+76.932s,0
2006,Japan,10,10, Rosberg,Williams Cosworth,52,+1 lap,0
2006,Japan,11,4, de la Rosa,McLaren Mercedes,52,+1 lap,0
2006,Japan,12,11, Barrichello,Honda,52,+1 lap,0
2006,Japan,13,15, Doornbos,RBR Ferrari,52,+1 lap,0
2006,Japan,14,20, Liuzzi,STR Cosworth,52,+1 lap,0
2006,Japan,15,22, Sato,Super Aguri Honda,52,+1 lap,0
2006,Japan,16,18, Monteiro,MF1 Toyota,51,+2 laps,0
2006,Japan,17,23, Yamamoto,Super Aguri Honda,50,+3 laps,0
2006,Japan,18,21, Speed,STR Cosworth,48,DNF,0
2006,Japan,NC,9, Webber,Williams Cosworth,39,DNF,0
2006,Japan,NC,5, Schumacher,Ferrari,36,DNF,0
2006,Japan,NC,14, Coulthard,RBR Ferrari,35,DNF,0
2006,Japan,NC,19, Albers,MF1 Toyota,20,DNF,0
2006,Brazil,1,6, Massa,Ferrari,71,1:31:53.751,10
2006,Brazil,2,1, Alonso,Renault,71,+18.658s,8
2006,Brazil,3,12, Button,Honda,71,+19.394s,6
2006,Brazil,4,5, Schumacher,Ferrari,71,+24.094s,5
2006,Brazil,5,3, Räikkönen,McLaren Mercedes,71,+28.503s,4
2006,Brazil,6,2, Fisichella,Renault,71,+30.287s,3
2006,Brazil,7,11, Barrichello,Honda,71,+40.294s,2
2006,Brazil,8,4, de la Rosa,McLaren Mercedes,71,+52.068s,1
2006,Brazil,9,17, Kubica,Sauber BMW,71,+67.642s,0
2006,Brazil,10,22, Sato,Super Aguri Honda,70,+1 lap,0
2006,Brazil,11,21, Speed,STR Cosworth,70,+1 lap,0
2006,Brazil,12,15, Doornbos,RBR Ferrari,70,+1 lap,0
2006,Brazil,13,20, Liuzzi,STR Cosworth,70,+1 lap,0
2006,Brazil,14,19, Albers,MF1 Toyota,70,+1 lap,0
2006,Brazil,15,18, Monteiro,MF1 Toyota,69,+2 laps,0
2006,Brazil,16,23, Yamamoto,Super Aguri Honda,69,+2 laps,0
2006,Brazil,17,16, Heidfeld,Sauber BMW,63,DNF,0
2006,Brazil,NC,14, Coulthard,RBR Ferrari,14,DNF,0
2006,Brazil,NC,8, Trulli,Toyota,10,DNF,0
2006,Brazil,NC,7, Schumacher,Toyota,9,DNF,0
2006,Brazil,NC,9, Webber,Williams Cosworth,1,DNF,0
2006,Brazil,NC,10, Rosberg,Williams Cosworth,0,DNF,0
2005,Australia,1,6, Fisichella,Renault,57,1:24:17.336,10
2005,Australia,2,2, Barrichello,Ferrari,57,+5.553s,8
2005,Australia,3,5, Alonso,Renault,57,+6.712s,6
2005,Australia,4,14, Coulthard,RBR Cosworth,57,+16.131s,5
2005,Australia,5,7, Webber,Williams BMW,57,+16.908s,4
2005,Australia,6,10, Montoya,McLaren Mercedes,57,+35.033s,3
2005,Australia,7,15, Klien,RBR Cosworth,57,+38.997s,2
2005,Australia,8,9, Räikkönen,McLaren Mercedes,57,+39.633s,1
2005,Australia,9,16, Trulli,Toyota,57,+63.108s,0
2005,Australia,10,12, Massa,Sauber Petronas,57,+64.393s,0
2005,Australia,11,3, Button,BAR Honda,56,DNF,0
2005,Australia,12,17, Schumacher,Toyota,56,+1 lap,0
2005,Australia,13,11, Villeneuve,Sauber Petronas,56,+1 lap,0
2005,Australia,14,4, Sato,BAR Honda,55,DNF,0
2005,Australia,15,19, Karthikeyan,Jordan Toyota,55,+2 laps,0
2005,Australia,16,18, Monteiro,Jordan Toyota,55,+2 laps,0
2005,Australia,17,20, Friesacher,Minardi Cosworth,53,+4 laps,0
2005,Australia,NC,1, Schumacher,Ferrari,42,DNF,0
2005,Australia,NC,8, Heidfeld,Williams BMW,42,DNF,0
2005,Australia,NC,21, Albers,Minardi Cosworth,16,DNF,0
2005,Malaysia,1,5, Alonso,Renault,56,1:31:33.736,10
2005,Malaysia,2,16, Trulli,Toyota,56,+24.327s,8
2005,Malaysia,3,8, Heidfeld,Williams BMW,56,+32.188s,6
2005,Malaysia,4,10, Montoya,McLaren Mercedes,56,+41.631s,5
2005,Malaysia,5,17, Schumacher,Toyota,56,+51.854s,4
2005,Malaysia,6,14, Coulthard,RBR Cosworth,56,+72.543s,3
2005,Malaysia,7,1, Schumacher,Ferrari,56,+79.988s,2
2005,Malaysia,8,15, Klien,RBR Cosworth,56,+80.835s,1
2005,Malaysia,9,9, Räikkönen,McLaren Mercedes,56,+81.580s,0
2005,Malaysia,10,12, Massa,Sauber Petronas,55,+1 lap,0
2005,Malaysia,11,19, Karthikeyan,Jordan Toyota,54,+2 laps,0
2005,Malaysia,12,18, Monteiro,Jordan Toyota,53,+3 laps,0
2005,Malaysia,13,21, Albers,Minardi Cosworth,52,+4 laps,0
2005,Malaysia,NC,2, Barrichello,Ferrari,49,DNF,0
2005,Malaysia,NC,6, Fisichella,Renault,36,DNF,0
2005,Malaysia,NC,7, Webber,Williams BMW,36,DNF,0
2005,Malaysia,NC,11, Villeneuve,Sauber Petronas,26,DNF,0
2005,Malaysia,NC,3, Button,BAR Honda,2,DNF,0
2005,Malaysia,NC,4, Davidson,BAR Honda,2,DNF,0
2005,Malaysia,NC,20, Friesacher,Minardi Cosworth,2,DNF,0
2005,Bahrain,1,5, Alonso,Renault,57,1:29:18.531,10
2005,Bahrain,2,16, Trulli,Toyota,57,+13.409s,8
2005,Bahrain,3,9, Räikkönen,McLaren Mercedes,57,+32.063s,6
2005,Bahrain,4,17, Schumacher,Toyota,57,+53.272s,5
2005,Bahrain,5,10, de la Rosa,McLaren Mercedes,57,+64.988s,4
2005,Bahrain,6,7, Webber,Williams BMW,57,+74.701s,3
2005,Bahrain,7,12, Massa,Sauber Petronas,56,+1 lap,2
2005,Bahrain,8,14, Coulthard,RBR Cosworth,56,+1 lap,1
2005,Bahrain,9,2, Barrichello,Ferrari,56,+1 lap,0
2005,Bahrain,10,18, Monteiro,Jordan Toyota,55,+2 laps,0
2005,Bahrain,11,11, Villeneuve,Sauber Petronas,54,DNF,0
2005,Bahrain,12,20, Friesacher,Minardi Cosworth,54,+3 laps,0
2005,Bahrain,13,21, Albers,Minardi Cosworth,53,+4 laps,0
2005,Bahrain,NC,3, Button,BAR Honda,46,DNF,0
2005,Bahrain,NC,4, Sato,BAR Honda,27,DNF,0
2005,Bahrain,NC,8, Heidfeld,Williams BMW,25,DNF,0
2005,Bahrain,NC,1, Schumacher,Ferrari,12,DNF,0
2005,Bahrain,NC,6, Fisichella,Renault,4,DNF,0
2005,Bahrain,NC,19, Karthikeyan,Jordan Toyota,2,DNF,0
2005,Bahrain,NC,15, Klien,RBR Cosworth,0,DNF,0
2005,San Marino,1,5, Alonso,Renault,62,1:27:41.921,10
2005,San Marino,2,1, Schumacher,Ferrari,62,+0.215s,8
2005,San Marino,3,10, Wurz,McLaren Mercedes,62,+27.554s,6
2005,San Marino,4,11, Villeneuve,Sauber Petronas,62,+64.442s,5
2005,San Marino,5,16, Trulli,Toyota,62,+70.258s,4
2005,San Marino,6,8, Heidfeld,Williams BMW,62,+71.282s,3
2005,San Marino,7,7, Webber,Williams BMW,62,+83.297s,2
2005,San Marino,8,15, Liuzzi,RBR Cosworth,62,+83.764s,1
2005,San Marino,9,17, Schumacher,Toyota,62,+95.841s,0
2005,San Marino,10,12, Massa,Sauber Petronas,61,+1 lap,0
2005,San Marino,11,14, Coulthard,RBR Cosworth,61,+1 lap,0
2005,San Marino,12,19, Karthikeyan,Jordan Toyota,61,+1 lap,0
2005,San Marino,13,18, Monteiro,Jordan Toyota,60,+2 laps,0
2005,San Marino,NC,21, Albers,Minardi Cosworth,20,DNF,0
2005,San Marino,NC,2, Barrichello,Ferrari,18,DNF,0
2005,San Marino,NC,9, Räikkönen,McLaren Mercedes,9,DNF,0
2005,San Marino,NC,20, Friesacher,Minardi Cosworth,8,DNF,0
2005,San Marino,NC,6, Fisichella,Renault,5,DNF,0
2005,Spain,1,9, Räikkönen,McLaren Mercedes,66,1:27:16.830,10
2005,Spain,2,5, Alonso,Renault,66,+27.652s,8
2005,Spain,3,16, Trulli,Toyota,66,+45.947s,6
2005,Spain,4,17, Schumacher,Toyota,66,+46.719s,5
2005,Spain,5,6, Fisichella,Renault,66,+57.936s,4
2005,Spain,6,7, Webber,Williams BMW,66,+68.542s,3
2005,Spain,7,10, Montoya,McLaren Mercedes,65,+1 lap,2
2005,Spain,8,14, Coulthard,RBR Cosworth,65,+1 lap,1
2005,Spain,9,2, Barrichello,Ferrari,65,+1 lap,0
2005,Spain,10,8, Heidfeld,Williams BMW,65,+1 lap,0
2005,Spain,11,12, Massa,Sauber Petronas,63,DNF,0
2005,Spain,12,18, Monteiro,Jordan Toyota,63,+3 laps,0
2005,Spain,13,19, Karthikeyan,Jordan Toyota,63,+3 laps,0
2005,Spain,NC,11, Villeneuve,Sauber Petronas,51,DNF,0
2005,Spain,NC,1, Schumacher,Ferrari,46,DNF,0
2005,Spain,NC,21, Albers,Minardi Cosworth,19,DNF,0
2005,Spain,NC,20, Friesacher,Minardi Cosworth,11,DNF,0
