year,race,position,number,driver,car,laps,time,points
2023,Monaco,8,55, Sainz,,78,+63.391s,4
2023,Monaco,9,4, Norris,,77,+1 lap,2
2023,Monaco,10,81, Piastri,,77,+1 lap,1
2023,Monaco,11,77, Bottas,,77,+1 lap,0
2023,Monaco,12,21, De Vries,,77,+1 lap,0
2023,Monaco,13,24,Zhou ,,77,+1 lap,0
2023,Monaco,14,23, Albon,,77,+1 lap,0
2023,Monaco,15,22, Tsunoda,,76,+2 laps,0
2023,Monaco,16,11, Perez,,76,+2 laps,0
2023,Monaco,17,27, Hulkenberg,,76,+2 laps,0
2023,Monaco,18,2, Sargeant,,76,+2 laps,0
2023,Monaco,19,20, Magnussen,,70,DNF,0
2023,Monaco,NC,18, Stroll,,53,DNF,0
2023,Spain,1,1, Verstappen,,66,1:27:57.940,26
2023,Spain,2,44, Hamilton,,66,+24.090s,18
2023,Spain,3,63, Russell,,66,+32.389s,15
2023,Spain,4,11, Perez,,66,+35.812s,12
2023,Spain,5,55, Sainz,,66,+45.698s,10
2023,Spain,6,18, Stroll,,66,+63.320s,8
2023,Spain,7,14, Alonso,,66,+64.127s,6
2023,Spain,8,31, Ocon,,66,+69.242s,4
2023,Spain,9,24,Zhou ,,66,+71.878s,2
2023,Spain,10,10, Gasly,,66,+73.530s,1
2023,Spain,11,16, Leclerc,,66,+74.419s,0
2023,Spain,12,22, Tsunoda,,66,+75.416s,0
2023,Spain,13,81, Piastri,,65,+1 lap,0
2023,Spain,14,21, De Vries,,65,+1 lap,0
2023,Spain,15,27, Hulkenberg,,65,+1 lap,0
2023,Spain,16,23, Albon,,65,+1 lap,0
2023,Spain,17,4, Norris,,65,+1 lap,0
2023,Spain,18,20, Magnussen,,65,+1 lap,0
2023,Spain,19,77, Bottas,,65,+1 lap,0
2023,Spain,20,2, Sargeant,,65,+1 lap,0
2023,Canada,1,1, Verstappen,,70,1:33:58.348,25
2023,Canada,2,14, Alonso,,70,+9.570s,18
2023,Canada,3,44, Hamilton,,70,+14.168s,15
2023,Canada,4,16, Leclerc,,70,+18.648s,12
2023,Canada,5,55, Sainz,,70,+21.540s,10
2023,Canada,6,11, Perez,,70,+51.028s,9
2023,Canada,7,23, Albon,,70,+60.813s,6
2023,Canada,8,31, Ocon,,70,+61.692s,4
2023,Canada,9,18, Stroll,,70,+64.402s,2
2023,Canada,10,77, Bottas,,70,+64.432s,1
2023,Canada,11,81, Piastri,,70,+65.101s,0
2023,Canada,12,10, Gasly,,70,+65.249s,0
2023,Canada,13,4, Norris,,70,+68.363s,0
2023,Canada,14,22, Tsunoda,,70,+73.423s,0
2023,Canada,15,27, Hulkenberg,,69,+1 lap,0
2023,Canada,16,24,Zhou ,,69,+1 lap,0
2023,Canada,17,20, Magnussen,,69,+1 lap,0
2023,Canada,18,21, De Vries,,69,+1 lap,0
2023,Canada,NC,63, Russell,,53,DNF,0
2023,Canada,NC,2, Sargeant,,6,DNF,0
2023,Austria,1,1, Verstappen,,71,1:25:33.607,26
2023,Austria,2,16, Leclerc,,71,+5.155s,18
2023,Austria,3,11, Perez,,71,+17.188s,15
2023,Austria,4,4, Norris,,71,+26.327s,12
2023,Austria,5,14, Alonso,,71,+30.317s,10
2023,Austria,6,55, Sainz,,71,+31.377s,8
2023,Austria,7,63, Russell,,71,+48.403s,6
2023,Austria,8,44, Hamilton,,71,+49.196s,4
2023,Austria,9,18, Stroll,,71,+59.043s,2
2023,Austria,10,10, Gasly,,71,+67.667s,1
2023,Austria,11,23, Albon,,71,+79.767s,0
2023,Austria,12,24,Zhou ,,70,+1 lap,0
2023,Austria,13,2, Sargeant,,70,+1 lap,0
2023,Austria,14,31, Ocon,,70,+1 lap,0
2023,Austria,15,77, Bottas,,70,+1 lap,0
2023,Austria,16,81, Piastri,,70,+1 lap,0
2023,Austria,17,21, De Vries,,70,+1 lap,0
2023,Austria,18,20, Magnussen,,70,+1 lap,0
2023,Austria,19,22, Tsunoda,,70,+1 lap,0
2023,Austria,NC,27, Hulkenberg,,12,DNF,0
2023,Great Britain,1,1, Verstappen,,52,1:25:16.938,26
2023,Great Britain,2,4, Norris,,52,+3.798s,18
2023,Great Britain,3,44, Hamilton,,52,+6.783s,15
2023,Great Britain,4,81, Piastri,,52,+7.776s,12
2023,Great Britain,5,63, Russell,,52,+11.206s,10
2023,Great Britain,6,11, Perez,,52,+12.882s,8
2023,Great Britain,7,14, Alonso,,52,+17.193s,6
